id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,218,EKOR,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,774,EKOR,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1719,EKOR,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,2598,EKOR,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,295,EKOR,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,98,EKOR,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,310,EKOR,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,122,EKOR,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,368,EKOR,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,421,EKOR,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,14,EKOR,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,304,EKOR,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,121,EKOR,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,60,EKOR,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,121,EKOR,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3435,EKOR,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,164,EKOR,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,83,EKOR,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,60,EKOR,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,168,EKOR,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,0,EKOR,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,42,EKOR,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,190,EKOR,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,153,EKOR,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,437,EKOR,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,21,EKOR,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,756,EKOR,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,210,EKOR,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,783,EKOR,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2062,EKOR,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,2719,EKOR,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,264,EKOR,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,101,EKOR,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,313,EKOR,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,133,EKOR,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,371,EKOR,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,449,EKOR,2018
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,14,EKOR,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,306,EKOR,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,123,EKOR,2018
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,57,EKOR,2018
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,124,EKOR,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3438,EKOR,2018
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,135,EKOR,2018
154,32,JAWA BARAT,3271,KOTA BOGOR,101,EKOR,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,32,EKOR,2018
156,32,JAWA BARAT,3273,KOTA BANDUNG,158,EKOR,2018
157,32,JAWA BARAT,3274,KOTA CIREBON,0,EKOR,2018
158,32,JAWA BARAT,3275,KOTA BEKASI,41,EKOR,2018
159,32,JAWA BARAT,3276,KOTA DEPOK,207,EKOR,2018
160,32,JAWA BARAT,3277,KOTA CIMAHI,155,EKOR,2018
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,441,EKOR,2018
