id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,820,EKOR,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2267,EKOR,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,398,EKOR,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,2196,EKOR,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14246,EKOR,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,334,EKOR,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,622,EKOR,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1491,EKOR,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,318,EKOR,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,162,EKOR,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,22,EKOR,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,2,EKOR,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,3,EKOR,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,87,EKOR,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,100,EKOR,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,5,EKOR,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,689,EKOR,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,75,EKOR,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,16174,EKOR,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8485,EKOR,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7594,EKOR,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2905,EKOR,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,6217,EKOR,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4375,EKOR,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2540,EKOR,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4609,EKOR,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,3169,EKOR,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,780,EKOR,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2057,EKOR,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,389,EKOR,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,2213,EKOR,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13787,EKOR,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,336,EKOR,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,631,EKOR,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1462,EKOR,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,356,EKOR,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,156,EKOR,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,23,EKOR,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,3,EKOR,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,3,EKOR,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,93,EKOR,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,102,EKOR,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,3,EKOR,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,689,EKOR,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,50,EKOR,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,2190,EKOR,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7118,EKOR,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7417,EKOR,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2616,EKOR,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,6175,EKOR,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5332,EKOR,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2261,EKOR,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4674,EKOR,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,2460,EKOR,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,380,EKOR,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2290,EKOR,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,379,EKOR,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,1251,EKOR,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13248,EKOR,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,220,EKOR,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,634,EKOR,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1465,EKOR,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,228,EKOR,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,138,EKOR,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,21,EKOR,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,0,EKOR,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,3,EKOR,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,74,EKOR,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,35,EKOR,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,3,EKOR,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,680,EKOR,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,4,EKOR,2022
